NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD,Y2024,Y2023,Y2022,AVG_PPG_PPR,BYE,WEIGHTED_SCORE,TIER
Jordan Love,QB,GB,262.6,361,532,4242,25.1,16.0,54,165,2.2,0,0,0,0.0,15.1,18.5,2.8,12.1,5,248.80000000000004,6
Aaron Rodgers,QB,PIT,248.3,364,512,3887,22.9,8.2,51,201,1.1,0,0,0,0.0,14.8,0.0,13.8,14.3,5,244.40000000000003,6
Tua Tagovailoa,QB,MIA,226.7,338,500,3782,21.4,7.9,38,104,0.7,0,0,0,0.0,16.0,15.8,17.7,16.5,12,234.16000000000003,7
Sam Darnold,QB,SEA,234.6,325,476,3411,21.1,10.4,68,267,2.6,0,0,0,0.0,18.1,2.2,15.2,11.8,8,225.44,7
Michael Penix Jr.,QB,ATL,219.7,332,500,3691,19.4,13.5,58,120,3.1,0,0,0,0.0,,,,,5,219.7,7
Daniel Jones,QB,IND,220.4,267,395,2964,15.6,8.2,94,378,5.2,0,0,0,0.0,13.4,9.3,17.8,13.5,11,219.52000000000004,7
Russell Wilson,QB,NYG,184.0,260,381,2774,14.6,5.9,46,189,2.5,0,0,0,0.0,15.6,16.8,14.9,15.8,14,197.76000000000002,8
Tyler Shough,QB,NO,161.6,242,356,2474,12.1,8.3,55,196,1.5,0,0,0,0.0,,,,,11,161.6,9
Kenny Pickett,QB,CLE,140.6,234,350,2351,11.2,7.4,41,100,1.9,0,0,0,0.0,4.8,9.1,11.2,8.4,9,139.36,10
Anthony Richardson,QB,IND,61.6,90,133,999,5.3,5.8,11,41,0.5,0,0,0,0.0,14.7,17.0,0.0,15.9,11,100.16,11
Spencer Rattler,QB,NO,54.6,114,167,1160,4.8,4.1,10,42,0.2,0,0,0,0.0,9.4,0.0,0.0,9.4,11,73.76,12
Joe Flacco,QB,CLE,35.9,68,102,679,3.4,3.1,4,6,0.1,0,0,0,0.0,12.3,19.6,9.4,13.8,9,72.88,12
Zach Wilson,QB,MIA,45.2,67,99,751,4.4,2.4,2,-2,0.0,0,0,0,0.0,0.0,9.6,11.1,10.4,12,69.44,12
Jaxson Dart,QB,NYG,60.2,87,128,925,4.3,2.6,22,85,0.5,0,0,0,0.0,,,,,14,60.2,12
Kirk Cousins,QB,ATL,10.1,17,25,187,1.0,0.8,1,1,0.0,0,0,0,0.0,12.6,18.6,16.7,16.0,5,59.28,12
Jake Browning,QB,CIN,3.3,4,6,45,0.3,0.1,1,3,0.0,0,0,0,0.0,0.0,15.8,0.0,15.8,10,53.2,12
Sam Howell,QB,MIN,23.8,35,51,405,1.9,1.2,6,15,0.2,0,0,0,0.0,-0.7,14.8,17.0,10.4,6,52.32000000000001,12
Jimmy Garoppolo,QB,LAR,2.5,4,6,47,0.3,0.1,0,0,0.0,0,0,0,0.0,19.0,8.7,14.9,14.2,8,47.44,12
Joshua Dobbs,QB,NE,2.0,4,5,37,0.2,0.1,0,0,0.0,0,0,0,0.0,15.0,14.9,10.0,13.3,14,44.160000000000004,12
Dillon Gabriel,QB,CLE,44.1,66,98,662,3.2,2.1,17,71,0.5,0,0,0,0.0,,,,,9,44.1,12
Jameis Winston,QB,NYG,20.9,38,56,406,1.8,1.3,4,10,0.1,0,0,0,0.0,10.2,1.7,13.7,8.5,14,43.92,12
Mason Rudolph,QB,PIT,12.0,16,22,170,1.1,0.8,1,2,0.0,0,0,0,0.0,11.6,9.5,0.0,10.6,5,43.52,12
Easton Stick,QB,ATL,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,13.4,0.0,13.4,5,42.96,12
Mac Jones,QB,SF,12.2,18,25,209,1.2,0.9,1,1,0.0,0,0,0,0.0,9.3,9.5,11.9,10.2,14,42.4,12
Marcus Mariota,QB,WAS,2.6,4,6,46,0.3,0.1,0,0,0.0,0,0,0,0.0,15.0,3.7,14.7,11.1,12,37.6,12
Aidan O’Connell,QB,LV,2.3,4,6,44,0.2,0.1,0,0,0.0,0,0,0,0.0,10.3,11.4,0.0,10.9,8,36.72,12
Tyson Bagent,QB,CHI,2.4,4,6,39,0.2,0.1,1,1,0.0,0,0,0,0.0,0.0,10.4,0.0,10.4,5,35.2,12
Tyrod Taylor,QB,NYJ,17.1,34,52,338,1.8,1.0,4,9,0.1,0,0,0,0.0,8.5,7.8,3.0,6.4,9,34.160000000000004,12
Andy Dalton,QB,CAR,2.2,4,6,42,0.2,0.1,0,0,0.0,0,0,0,0.0,9.7,7.7,12.2,9.9,14,33.440000000000005,13
Gardner Minshew II,QB,KC,2.6,4,6,44,0.3,0.1,0,0,0.0,0,0,0,0.0,9.3,12.0,7.2,9.5,10,32.480000000000004,13
Jalen Milroe,QB,SEA,31.4,36,53,377,2.2,1.1,16,70,0.4,0,0,0,0.0,,,,,8,31.4,13
Taylor Heinicke,QB,LAC,2.8,4,6,44,0.3,0.1,1,2,0.0,0,0,0,0.0,0.8,13.0,13.0,8.9,12,30.720000000000002,13
Drew Lock,QB,SEA,2.2,4,5,37,0.2,0.1,0,1,0.0,0,0,0,0.0,11.0,7.0,0.0,9.0,8,30.560000000000002,13
Jarrett Stidham,QB,DEN,2.8,4,6,43,0.2,0.1,1,2,0.0,0,0,0,0.0,0.0,8.3,8.4,8.4,12,29.12,13
Sam Ehlinger,QB,DEN,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,8.5,8.5,12,27.360000000000003,13
Bailey Zappe,QB,KC,0.2,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,6.8,10.0,8.4,10,27.040000000000003,13
Desmond Ridder,QB,CIN,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,4.2,11.5,9.5,8.4,10,27.040000000000003,13
Jacoby Brissett,QB,ARI,2.3,4,5,39,0.2,0.1,0,0,0.0,0,0,0,0.0,5.3,7.0,10.4,7.6,8,26.16,13
Mitch Trubisky,QB,BUF,2.7,4,6,45,0.3,0.1,0,0,0.0,0,0,0,0.0,1.7,9.2,10.4,7.1,7,24.88,13
Tommy DeVito,QB,NYG,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,4.3,10.3,0.0,7.3,14,23.52,13
Mike White,QB,BUF,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.3,13.8,7.1,7,22.88,13
Davis Mills,QB,HOU,3.1,4,6,46,0.2,0.1,2,4,0.0,0,0,0,0.0,2.3,2.3,12.3,5.6,6,20.4,13
Nick Mullens,QB,JAC,2.7,4,6,46,0.3,0.1,1,2,0.0,0,0,0,0.0,0.3,13.2,2.5,5.3,8,19.12,13
Cooper Rush,QB,BAL,2.7,4,6,52,0.3,0.1,0,0,0.0,0,0,0,0.0,8.7,0.4,6.4,5.2,7,18.8,13
Kyle Allen,QB,DET,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,-0.1,11.5,5.7,8,18.400000000000002,13
John Wolford,QB,JAC,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,4.7,4.7,8,15.200000000000001,13
Case Keenum,QB,CHI,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,4.5,0.0,4.5,5,14.48,13
Trey Lance,QB,LAC,0.2,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,3.0,0.0,5.5,4.3,12,13.92,13
Malik Willis,QB,GB,2.5,4,5,41,0.2,0.1,0,1,0.0,0,0,0,0.0,7.3,0.7,2.4,3.5,5,13.200000000000001,13
Shedeur Sanders,QB,CLE,9.9,16,23,160,0.8,0.5,3,11,0.1,0,0,0,0.0,,,,,9,9.9,13
Brett Rypien,QB,MIN,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,1.5,4.3,2.9,6,9.36,13
Skylar Thompson,QB,PIT,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,2.3,0.0,2.4,2.4,5,7.76,13
Dorian Thompson-Robinson,QB,PHI,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,2.1,2.4,0.0,2.3,9,7.52,13
Brandon Allen,QB,TEN,2.2,4,6,41,0.2,0.1,0,1,0.0,0,0,0,0.0,1.7,0.0,0.0,1.7,10,7.200000000000001,13
Jake Haener,QB,NO,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,1.6,0.0,0.0,1.6,11,5.200000000000001,13
Kyle Trask,QB,TB,2.9,4,6,49,0.2,0.1,1,2,0.0,0,0,0,0.0,,,,,9,2.9,13
Joe Milton III,QB,DAL,2.6,4,6,42,0.2,0.1,0,0,0.0,0,0,0,0.0,,,,,10,2.6,13
Hendon Hooker,QB,DET,2.6,4,6,48,0.3,0.1,0,0,0.0,0,0,0,0.0,,,,,8,2.6,13
Tanner McKee,QB,PHI,2.4,4,6,51,0.3,0.1,0,0,0.0,0,0,0,0.0,,,,,9,2.4,13
Clayton Tune,QB,ARI,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,-0.3,0.7,0.0,0.2,8,0.7200000000000002,13
Devin Leary,QB,BAL,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,7,0.2,13
Quinn Ewers,QB,MIA,0.2,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,12,0.2,13
Will Grier,QB,DAL,0.2,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,10,0.2,13
Stetson Bennett,QB,LAR,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,8,0.2,13
Michael Pratt,QB,TB,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,9,0.2,13
Kurtis Rourke,QB,SF,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,14,0.2,13
Will Howard,QB,PIT,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,5,0.1,13
Tommy Mellott,QB,LV,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,8,0.1,13
Ben Wooldridge,QB,NE,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,14,0.1,13
Sam Hartman,QB,WAS,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,12,0.1,13
