NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Tyreek Hill,WR,MIA,257.3,0,0,0,0,0,11,54,0.4,139,93,1193,6.4
Mike Evans,WR,TB,246.9,0,0,0,0,0,0,0,0,127,86,1201,6.9
Terry McLaurin,WR,WAS,239.3,0,0,0,0,0,2,10,0.1,119,80,1129,7.5
Drake London,WR,ATL,251.5,0,0,0,0,0,1,6,0.1,145,97,1132,6.8
Rashee Rice,WR,KC,248.3,0,0,0,0,0,5,26,0.3,136,95,1080,7
DJ Moore,WR,CHI,227.2,0,0,0,0,0,13,67,0.6,124,82,958,6.6
Jaxon Smith-Njigba,WR,SEA,231.2,0,0,0,0,0,5,27,0.2,128,87,1061,5.9
Courtland Sutton,WR,DEN,231.8,0,0,0,0,0,0,0,0,136,87,1091,6
Zay Flowers,WR,BAL,225.3,0,0,0,0,0,11,54,0.5,121,81,1079,4.8
Davante Adams,WR,LAR,223.6,0,0,0,0,0,0,0,0,123,81,943,8.2
DeVonta Smith,WR,PHI,216.4,0,0,0,0,0,1,5,0,108,73,983,7.4
Marvin Harrison Jr.,WR,ARI,223,0,0,0,0,0,0,0,0,132,84,1044,6
Jakobi Meyers,WR,LV,217.9,0,0,0,0,0,3,14,0.1,124,83,1067,4.5
George Pickens,WR,DAL,201.7,0,0,0,0,0,2,10,0.1,103,67,993,5.7
Calvin Ridley,WR,TEN,208.1,0,0,0,0,0,8,42,0.4,118,74,993,4.9
Jordan Addison,WR,MIN,208,0,0,0,0,0,3,18,0.2,119,75,991,5.2
Chris Godwin,WR,TB,209.6,0,0,0,0,0,3,13,0.1,118,80,963,5.3
Chris Olave,WR,NO,211.8,0,0,0,0,0,2,12,0.1,127,83,1006,4.5
DK Metcalf,WR,PIT,199.1,0,0,0,0,0,0,0,0,110,71,959,5.5
Khalil Shakir,WR,BUF,210.5,0,0,0,0,0,2,12,0.1,121,82,952,5.3
Deebo Samuel,WR,WAS,196.6,0,0,0,0,0,18,88,0.7,104,69,862,4.8
Jayden Reed,WR,GB,188.4,0,0,0,0,0,17,95,0.8,94,61,871,4.4
Jameson Williams,WR,DET,186.8,0,0,0,0,0,12,61,0.7,95,61,914,4.2
Garrett Wilson,WR,NYJ,216.6,0,0,0,0,0,1,5,0,140,91,932,5.3
Travis Hunter,WR,JAC,196.1,0,0,0,0,0,0,0,0,108,71,948,5.2
Xavier Worthy,WR,KC,193,0,0,0,0,0,19,99,1,109,70,713,6.2
Tetairoa McMillan,WR,CAR,192.3,0,0,0,0,0,0,0,0,111,71,933,4.8
Jauan Jennings,WR,SF,187.2,0,0,0,0,0,0,0,0,104,69,920,4.4
Jerry Jeudy,WR,CLE,184.9,0,0,0,0,0,0,0,0,109,70,932,3.7
Jaylen Waddle,WR,MIA,180.1,0,0,0,0,0,4,20,0.1,99,65,880,4.1
Rome Odunze,WR,CHI,181.7,0,0,0,0,0,3,17,0.1,111,68,815,5.1
Stefon Diggs,WR,NE,189.1,0,0,0,0,0,6,31,0.3,119,79,817,4.1
Marvin Mims Jr.,WR,DEN,159.7,0,0,0,0,0,12,60,0.5,79,52,709,4.8
Michael Pittman Jr.,WR,IND,177.9,0,0,0,0,0,0,0,0,109,71,865,3.5
Darnell Mooney,WR,ATL,170.2,0,0,0,0,0,0,0,0,101,63,839,3.9
Josh Downs,WR,IND,171.7,0,0,0,0,0,1,6,0,99,67,770,4.6
Christian Kirk,WR,HOU,166.9,0,0,0,0,0,0,0,0,99,63,839,3.5
Ricky Pearsall,WR,SF,156,0,0,0,0,0,7,40,0.4,86,54,716,4.2
Cooper Kupp,WR,SEA,167.2,0,0,0,0,0,3,14,0.1,102,66,746,4.2
Emeka Egbuka,WR,TB,151.4,0,0,0,0,0,0,0,0,86,54,727,4.2
Quentin Johnston,WR,LAC,150.7,0,0,0,0,0,3,16,0.1,91,56,653,4.5
Wan’Dale Robinson,WR,NYG,161.7,0,0,0,0,0,4,18,0.1,104,67,708,3.6
Matthew Golden,WR,GB,146.4,0,0,0,0,0,0,0,0,82,52,681,4.4
Romeo Doubs,WR,GB,147.8,0,0,0,0,0,0,0,0,86,55,702,3.9
Adam Thielen,WR,CAR,144.3,0,0,0,0,0,0,0,0,81,54,707,3.4
Joshua Palmer,WR,BUF,138.7,0,0,0,0,0,0,0,0,79,49,637,4.4
Luther Burden III,WR,CHI,141.1,0,0,0,0,0,0,0,0,85,53,640,4.2
Rashod Bateman,WR,BAL,130.6,0,0,0,0,0,0,0,0,69,44,617,4.2
Keon Coleman,WR,BUF,125.3,0,0,0,0,0,0,0,0,64,39,593,4.5
Demario Douglas,WR,NE,142,0,0,0,0,0,4,21,0.2,86,56,617,3.5
Jayden Higgins,WR,HOU,133.5,0,0,0,0,0,0,0,0,81,49,646,3.5
Jalen Coker,WR,CAR,129.8,0,0,0,0,0,0,0,0,70,45,650,3.3
DeAndre Hopkins,WR,BAL,122.7,0,0,0,0,0,0,0,0,67,44,582,3.4
Brandon Aiyuk,WR,SF,121.6,0,0,0,0,0,0,0,0,67,44,617,2.7
Pat Bryant,WR,DEN,119,0,0,0,0,0,0,0,0,73,43,547,3.6
Michael Wilson,WR,ARI,119.1,0,0,0,0,0,1,5,0,70,44,569,3
Calvin Austin III,WR,PIT,110.8,0,0,0,0,0,0,0,0,63,39,535,3.1
Cedric Tillman,WR,CLE,118.5,0,0,0,0,0,3,13,0.1,76,47,539,2.6
Rashid Shaheed,WR,NO,108.3,0,0,0,0,0,9,44,0.4,63,38,490,2.6
Jack Bech,WR,LV,109.5,0,0,0,0,0,0,0,0,68,41,527,2.8
Marquise Brown,WR,KC,111.8,0,0,0,0,0,0,0,0,68,44,519,2.8
Tre Harris,WR,LAC,104,0,0,0,0,0,0,0,0,62,37,493,3.1
Alec Pierce,WR,IND,98,0,0,0,0,0,0,0,0,53,32,511,2.6
Tre Tucker,WR,LV,99.7,0,0,0,0,0,10,50,0.4,59,36,471,1.6
Tyler Lockett,WR,TEN,102.7,0,0,0,0,0,0,0,0,63,40,470,2.7
Darius Slayton,WR,NYG,98.3,0,0,0,0,0,2,9,0.1,57,35,493,2.1
Xavier Legette,WR,CAR,102.9,0,0,0,0,0,6,30,0.3,67,41,454,2.1
Dyami Brown,WR,JAC,99.4,0,0,0,0,0,2,13,0.1,60,38,476,2
Kyle Williams,WR,NE,97.6,0,0,0,0,0,0,0,0,62,37,439,2.9
Tutu Atwell,WR,LAR,95.7,0,0,0,0,0,3,13,0.1,56,36,469,1.9
Ray-Ray McCloud,WR,ATL,95.5,0,0,0,0,0,9,45,0.4,60,38,422,1.5
Noah Brown,WR,WAS,91.5,0,0,0,0,0,0,0,0,54,34,449,2.1
Jalen Tolbert,WR,DAL,89.5,0,0,0,0,0,0,0,0,54,33,407,2.6
Adonai Mitchell,WR,IND,88.5,0,0,0,0,0,6,30,0.3,56,33,393,1.9
Andrei Iosivas,WR,CIN,84.1,0,0,0,0,0,0,0,0,53,32,392,2.2
Diontae Johnson,WR,CLE,86.4,0,0,0,0,0,3,14,0.1,58,36,366,2
Van Jefferson,WR,TEN,79.2,0,0,0,0,0,0,0,0,51,30,345,2.5
Marquez Valdes-Scantling,WR,SEA,67.5,0,0,0,0,0,1,5,0,38,22,326,2.1
Roman Wilson,WR,PIT,67.2,0,0,0,0,0,0,0,0,40,25,315,1.9
Brandin Cooks,WR,NO,73.4,0,0,0,0,0,2,11,0.1,51,31,305,1.8
Allen Lazard,WR,NYJ,67.7,0,0,0,0,0,0,0,0,43,26,310,1.8
Jalen McMillan,WR,TB,62.7,0,0,0,0,0,2,11,0.1,36,22,275,1.9
Tyler Johnson,WR,NYJ,66.7,0,0,0,0,0,0,0,0,41,27,289,1.9
Greg Dortch,WR,ARI,58.2,0,0,0,0,0,3,14,0.2,34,22,241,1.7
Chimere Dike,WR,TEN,54,0,0,0,0,0,0,0,0,34,20,250,1.5
Luke McCaffrey,WR,WAS,52.6,0,0,0,0,0,0,0,0,33,20,237,1.5
Jalen Nailor,WR,MIN,51,0,0,0,0,0,2,13,0.2,31,19,233,1.1
Jaylin Noel,WR,HOU,50.5,0,0,0,0,0,0,0,0,31,19,243,1.3
Kalif Raymond,WR,DET,48.8,0,0,0,0,0,2,12,0.1,27,18,232,1
Jermaine Burton,WR,CIN,46.8,0,0,0,0,0,0,0,0,28,16,227,1.4
Elijah Moore,WR,BUF,50.1,0,0,0,0,0,0,2,0,32,20,226,1.3
Arian Smith,WR,NYJ,47.5,0,0,0,0,0,0,0,0,31,18,217,1.3
Jalen Royals,WR,KC,45.4,0,0,0,0,0,0,0,0,27,16,206,1.5
Devaughn Vele,WR,DEN,47.2,0,0,0,0,0,0,0,0,28,18,221,1.2
Josh Reynolds,WR,NYJ,46.9,0,0,0,0,0,0,0,0,29,18,222,1.2
Olamide Zaccheaus,WR,CHI,47,0,0,0,0,0,1,4,0,30,19,201,1.3
DeAndre Carter,WR,CLE,47.9,0,0,0,0,0,0,0,0,31,20,224,1
Nick Westbrook-Ikhine,WR,MIA,39.9,0,0,0,0,0,0,0,0,22,13,183,1.4
Troy Franklin,WR,DEN,41.8,0,0,0,0,0,1,6,0.1,28,16,182,1.1
Jordan Whittington,WR,LAR,40.7,0,0,0,0,0,0,0,0,24,16,184,1
Demarcus Robinson,WR,SF,36.9,0,0,0,0,0,0,0,0,21,13,166,1.2
Dontayvion Wicks,WR,GB,36.3,0,0,0,0,0,0,0,0,24,15,153,1.1
Tim Patrick,WR,DET,33.3,0,0,0,0,0,0,0,0,19,12,157,0.9
Jalen Reagor,WR,LAC,31.9,0,0,0,0,0,4,21,0.2,19,11,143,0.6
Parker Washington,WR,JAC,33.1,0,0,0,0,0,0,0,0,20,12,155,0.9
Curtis Samuel,WR,BUF,31.4,0,0,0,0,0,2,9,0.1,17,11,126,1
Christian Watson,WR,GB,29.7,0,0,0,0,0,1,5,0,16,10,147,0.8
Derius Davis,WR,LAC,28.7,0,0,0,0,0,9,44,0.4,14,9,98,0.5
Jake Bobo,WR,SEA,31.3,0,0,0,0,0,0,0,0,19,12,136,1
Malik Washington,WR,MIA,30.5,0,0,0,0,0,3,17,0.1,19,12,132,0.5
Zay Jones,WR,ARI,28.6,0,0,0,0,0,0,0,0,19,11,139,0.6
Kavontae Turpin,WR,DAL,24.7,0,0,0,0,0,6,29,0.2,12,8,94,0.6
Robert Woods,WR,PIT,27.8,0,0,0,0,0,0,0,0,19,12,122,0.7
Mecole Hardman Jr.,WR,GB,22.6,0,0,0,0,0,5,27,0.2,11,7,77,0.6
Jahan Dotson,WR,PHI,22.1,0,0,0,0,0,1,3,0,14,9,103,0.5
David Moore,WR,CAR,21.5,0,0,0,0,0,0,1,0,14,8,98,0.5
Jalin Hyatt,WR,NYG,20.9,0,0,0,0,0,0,0,0,14,8,109,0.3
Khadarel Hodge,WR,ATL,19,0,0,0,0,0,0,0,0,11,7,91,0.6
Tim Jones,WR,MIN,20.9,0,0,0,0,0,0,0,0,14,9,99,0.4
Tory Horton,WR,SEA,18.5,0,0,0,0,0,0,0,0,11,7,85,0.6
Ainias Smith,WR,PHI,18.2,0,0,0,0,0,4,22,0.1,10,6,67,0.4
Parris Campbell,WR,DAL,18.2,0,0,0,0,0,0,0,0,11,7,80,0.5
Tylan Wallace,WR,BAL,17.4,0,0,0,0,0,0,0,0,10,7,83,0.5
Konata Mumpfield,WR,LAR,15.3,0,0,0,0,0,0,0,0,9,5,68,0.6
Simi Fehoko,WR,ARI,15.9,0,0,0,0,0,0,0,0,11,6,74,0.4
David Bell,WR,CLE,16.1,0,0,0,0,0,0,0,0,10,7,76,0.3
Lil’Jordan Humphrey,WR,NYG,15.4,0,0,0,0,0,0,0,0,10,6,70,0.4
Trent Sherfield,WR,DEN,15.7,0,0,0,0,0,0,0,0,10,7,72,0.3
Jonathan Mingo,WR,DAL,15.5,0,0,0,0,0,1,4,0,11,7,69,0.3
Jacob Cowing,WR,SF,13.6,0,0,0,0,0,0,0,0,8,5,64,0.4
Ronnie Bell,WR,DET,14.1,0,0,0,0,0,0,0,0,9,5,67,0.4
Trenton Irwin,WR,JAC,14.3,0,0,0,0,0,0,0,0,9,5,63,0.4
Xavier Smith,WR,LAR,10.2,0,0,0,0,0,8,40,0.3,3,2,19,0.1
Keandre Lambert-Smith,WR,LAC,13,0,0,0,0,0,0,0,0,8,5,61,0.4
Austin Trammell,WR,JAC,13.4,0,0,0,0,0,0,0,0,9,5,62,0.3
Isaac TeSlaa,WR,DET,12.7,0,0,0,0,0,0,0,0,8,5,60,0.4
Erik Ezukanma,WR,MIA,12.1,0,0,0,0,0,0,0,0,8,4,62,0.3
Bo Melton,WR,GB,11.1,0,0,0,0,0,3,17,0.1,6,3,39,0.2
Steven Sims Jr.,WR,SEA,11.9,0,0,0,0,0,2,8,0.1,6,4,47,0.3
Kayshon Boutte,WR,NE,11.9,0,0,0,0,0,0,0,0,7,4,56,0.3
Ja’Lynn Polk,WR,NE,12.5,0,0,0,0,0,0,1,0,9,5,52,0.3
Terrace Marshall Jr.,WR,PHI,11.7,0,0,0,0,0,0,0,0,7,5,54,0.3
Jordan Watkins,WR,SF,10.8,0,0,0,0,0,0,0,0,7,4,50,0.3
Treylon Burks,WR,TEN,10.5,0,0,0,0,0,1,6,0.1,6,4,49,0.2
Ben Skowronek,WR,PIT,11.2,0,0,0,0,0,0,0,0,7,4,54,0.2
Mack Hollins,WR,NE,10.7,0,0,0,0,0,0,0,0,7,4,46,0.4
LaJohntay Wester,WR,BAL,10.3,0,0,0,0,0,0,0,0,6,4,48,0.3
Elic Ayomanor,WR,TEN,10.6,0,0,0,0,0,0,0,0,6,4,50,0.3
Chris Blair,WR,ATL,10.4,0,0,0,0,0,0,0,0,7,4,51,0.2
Malik Heath,WR,GB,10.5,0,0,0,0,0,0,0,0,6,4,44,0.3
Kendrick Bourne,WR,NE,10.6,0,0,0,0,0,0,1,0,7,4,50,0.2
Zach Pascal,WR,NYG,10.4,0,0,0,0,0,0,0,0,7,4,48,0.3
Dont’e Thornton Jr.,WR,LV,9.8,0,0,0,0,0,0,0,0,6,4,47,0.3
Xavier Gipson,WR,NYJ,10.4,0,0,0,0,0,0,0,0,7,4,48,0.2
Britain Covey,WR,LAR,9.7,0,0,0,0,0,0,0,0,6,4,42,0.3
Savion Williams,WR,GB,9.3,0,0,0,0,0,0,0,0,6,3,42,0.3
Cedrick Wilson,WR,NO,10,0,0,0,0,0,0,0,0,7,4,48,0.2
Devontez Walker,WR,BAL,8.5,0,0,0,0,0,0,0,0,5,3,41,0.3
Scotty Miller,WR,PIT,9.1,0,0,0,0,0,0,0,0,6,3,45,0.2
Laviska Shenault Jr.,WR,BUF,7.7,0,0,0,0,0,2,9,0.1,4,3,28,0.1
Johnny Wilson,WR,PHI,8.3,0,0,0,0,0,0,0,0,5,3,36,0.3
Brandon Johnson,WR,PIT,7.5,0,0,0,0,0,0,0,0,4,3,36,0.2
Dante Pettis,WR,NO,8,0,0,0,0,0,0,0,0,6,3,37,0.2
K.J. Osborn,WR,WAS,7.1,0,0,0,0,0,0,0,0,4,3,32,0.2
Casey Washington,WR,ATL,7,0,0,0,0,0,0,0,0,5,3,34,0.2
Luke Floriea,WR,CLE,6.7,0,0,0,0,0,0,0,0,5,3,32,0.1
Gage Larvadain,WR,CLE,6.7,0,0,0,0,0,0,0,0,5,3,32,0.1
Kisean Johnson,WR,CLE,6.7,0,0,0,0,0,0,0,0,5,3,32,0.1
Jalen Brooks,WR,DAL,6.7,0,0,0,0,0,0,0,0,4,3,31,0.2
Cade McDonald,WR,CLE,6.7,0,0,0,0,0,0,0,0,5,3,32,0.1
Bub Means,WR,NO,6.6,0,0,0,0,0,0,0,0,4,3,33,0.1
Montorie Foster Jr.,WR,SEA,6.1,0,0,0,0,0,0,0,0,4,2,28,0.2
Ricky White III,WR,SEA,6.1,0,0,0,0,0,0,0,0,4,2,28,0.2
Tyrone Broden,WR,SEA,6.1,0,0,0,0,0,0,0,0,4,2,28,0.2
John Rhys Plumlee,WR,SEA,5.9,0,0,0,0,0,0,0,0,4,2,27,0.2
Silas Bolden,WR,MIN,6.1,0,0,0,0,0,0,0,0,4,2,29,0.2
Robert Lewis,WR,MIN,6.1,0,0,0,0,0,0,0,0,4,2,29,0.2
Dontae Fleming,WR,MIN,6.1,0,0,0,0,0,0,0,0,4,2,29,0.2
Myles Price,WR,MIN,6.1,0,0,0,0,0,0,0,0,4,2,29,0.2
Kristian Wilkerson,WR,BUF,5.8,0,0,0,0,0,0,0,0,4,2,26,0.2
Trishton Jackson,WR,ARI,5.9,0,0,0,0,0,0,0,0,3,2,26,0.2
Bryce Oliver,WR,TEN,5.9,0,0,0,0,0,0,0,0,4,2,29,0.1
Brennan Presley,WR,LAR,5.4,0,0,0,0,0,0,0,0,3,2,24,0.2
James Proche,WR,TEN,5.7,0,0,0,0,0,0,0,0,4,2,27,0.1
Mario Williams,WR,LAR,5.4,0,0,0,0,0,0,0,0,3,2,24,0.2
Tru Edwards,WR,LAR,5.4,0,0,0,0,0,0,0,0,3,2,24,0.2
Jaylin Lane,WR,WAS,5.3,0,0,0,0,0,0,0,0,3,2,24,0.2
Ashton Dulin,WR,IND,4.4,0,0,0,0,0,2,8,0.1,2,1,15,0.1
Stephen Gosnell,WR,BUF,5.1,0,0,0,0,0,0,0,0,3,2,23,0.2
K.J. Hamler,WR,BUF,4.9,0,0,0,0,0,0,0,0,3,2,22,0.2
Dan Chisena,WR,CAR,5.4,0,0,0,0,0,0,0,0,3,2,26,0.1
Ryan Flournoy,WR,DAL,5.4,0,0,0,0,0,0,0,0,4,2,27,0.1
Jamari Thrash,WR,CLE,5.6,0,0,0,0,0,0,0,0,4,2,27,0.1
Monaray Baldwin,WR,MIA,5.1,0,0,0,0,0,0,0,0,3,2,23,0.2
A.T. Perry,WR,DEN,4.8,0,0,0,0,0,0,0,0,3,2,23,0.1
Theo Wease Jr.,WR,MIA,5.1,0,0,0,0,0,0,0,0,3,2,23,0.2
A.J. Henning,WR,MIA,5.1,0,0,0,0,0,0,0,0,3,2,23,0.2
Andrew Armstrong,WR,MIA,5.1,0,0,0,0,0,0,0,0,3,2,23,0.2
Dareke Young,WR,SEA,5.2,0,0,0,0,0,0,0,0,3,2,24,0.1
Bryson Green,WR,ARI,4.9,0,0,0,0,0,0,0,0,3,2,23,0.2
Tyrell Shavers,WR,BUF,4.8,0,0,0,0,0,0,0,0,3,2,21,0.2
Jimmy Horn Jr.,WR,CAR,4.8,0,0,0,0,0,0,0,0,3,2,23,0.1
Courtney Jackson,WR,DEN,4.7,0,0,0,0,0,0,0,0,3,2,22,0.1
Jerjuan Newton,WR,DEN,4.7,0,0,0,0,0,0,0,0,3,2,22,0.1
Tarik Black,WR,MIA,4.8,0,0,0,0,0,0,0,0,3,2,22,0.1
Kyrese White,WR,DEN,4.7,0,0,0,0,0,0,0,0,3,2,22,0.1
Tahj Washington,WR,MIA,4.8,0,0,0,0,0,0,0,0,3,2,22,0.1
Joaquin Davis,WR,DEN,4.7,0,0,0,0,0,0,0,0,3,2,22,0.1
Kobe Hudson,WR,CAR,4.8,0,0,0,0,0,0,0,0,3,2,23,0.1
Jacolby George,WR,CAR,4.8,0,0,0,0,0,0,0,0,3,2,23,0.1
Jalen Virgil,WR,BUF,4.4,0,0,0,0,0,0,0,0,3,2,20,0.2
T.J. Luther,WR,CAR,4.5,0,0,0,0,0,0,0,0,3,2,21,0.1
Dalevon Campbell,WR,LAC,4.3,0,0,0,0,0,0,0,0,3,2,20,0.1
Equanimeous St. Brown,WR,SF,4.4,0,0,0,0,0,0,0,0,3,2,20,0.1
Luke Grimm,WR,LAC,4.3,0,0,0,0,0,0,0,0,3,2,20,0.1
Landon Parker,WR,IND,4.5,0,0,0,0,0,0,0,0,3,2,21,0.1
Coleman Owen,WR,IND,4.5,0,0,0,0,0,0,0,0,3,2,21,0.1
Tyler Kahmann,WR,IND,4.5,0,0,0,0,0,0,0,0,3,2,21,0.1
Blayne Taylor,WR,IND,4.5,0,0,0,0,0,0,0,0,3,2,21,0.1
Montrell Washington,WR,NYG,4.4,0,0,0,0,0,0,0,0,3,2,21,0.1
Isaiah Hodgins,WR,SF,4.3,0,0,0,0,0,0,0,0,3,2,20,0.1
Malachi Corley,WR,NYJ,4.1,0,0,0,0,0,1,5,0,2,1,14,0.1
Jakobie Keeney-James,WR,DET,4.1,0,0,0,0,0,0,0,0,2,2,19,0.1
Quincy Skinner Jr.,WR,ATL,4.2,0,0,0,0,0,0,0,0,3,2,19,0.1
Nick Nash,WR,ATL,4.2,0,0,0,0,0,0,0,0,3,2,19,0.1
Jha’Quan Jackson,WR,TEN,3.7,0,0,0,0,0,1,5,0,2,1,15,0.1
Elijah Cooks,WR,PHI,4.2,0,0,0,0,0,0,0,0,2,2,19,0.1
Jackson Meeks,WR,DET,4.1,0,0,0,0,0,0,0,0,2,2,19,0.1
Dez Fitzpatrick,WR,LAC,4.1,0,0,0,0,0,0,0,0,2,1,19,0.1
Dee Eskridge,WR,MIA,4.3,0,0,0,0,0,0,0,0,3,2,21,0.1
Dominic Lovett,WR,DET,4.1,0,0,0,0,0,0,0,0,2,2,19,0.1
Malik Taylor,WR,DET,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Makai Polk,WR,ATL,4.1,0,0,0,0,0,0,0,0,3,2,19,0.1
Mason Tipton,WR,NO,4.4,0,0,0,0,0,0,0,0,3,2,20,0.1
Chandler Brayboy,WR,JAC,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
J.J. Jones,WR,JAC,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Quentin Skinner,WR,NYJ,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Jesse Matthews,WR,ATL,3.9,0,0,0,0,0,0,0,0,3,2,18,0.1
Jamaal Pritchett,WR,NYJ,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Eli Pancol,WR,JAC,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Dymere Miller,WR,NYJ,3.8,0,0,0,0,0,0,0,0,2,1,18,0.1
Jaylen Johnson,WR,LAC,3.9,0,0,0,0,0,0,0,0,2,1,18,0.1
Ke’Shawn Williams,WR,PIT,3.7,0,0,0,0,0,0,0,0,2,1,17,0.1
Dalen Cambre,WR,NYG,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Beaux Collins,WR,NYG,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Isaiah Neyor,WR,SF,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Brenden Rice,WR,LAC,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Jahmal Banks,WR,BAL,3.4,0,0,0,0,0,0,0,0,2,1,16,0.1
Ontaria Wilson,WR,NYJ,3.7,0,0,0,0,0,0,0,0,2,1,17,0.1
Xavier Guillory,WR,BAL,3.4,0,0,0,0,0,0,0,0,2,1,16,0.1
Russell Gage,WR,SF,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Antwane Wells Jr.,WR,NYG,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Roc Taylor,WR,PIT,3.7,0,0,0,0,0,0,0,0,2,1,17,0.1
Da’Quan Felton,WR,NYG,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Junior Bergen,WR,SF,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Jordan Bly,WR,NYG,3.6,0,0,0,0,0,0,0,0,2,1,17,0.1
Taylor Morin,WR,PHI,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Darius Cooper,WR,PHI,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Quintez Cephus,WR,SF,3.4,0,0,0,0,0,0,0,0,2,1,16,0.1
Giles Jackson,WR,PHI,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Danny Gray,WR,PHI,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Brycen Tremayne,WR,CAR,3.4,0,0,0,0,0,0,0,0,2,1,16,0.1
Malik Knowles,WR,SF,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Anthony Gould,WR,IND,3.2,0,0,0,0,0,0,0,0,2,1,16,0.1
John Metchie III,WR,HOU,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Bryce Ford-Wheaton,WR,NYG,3.2,0,0,0,0,0,0,0,0,2,1,15,0.1
Justin Watson,WR,HOU,3.2,0,0,0,0,0,0,0,0,2,1,17,0.1
Mason Kinsey,WR,TEN,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Cornelius Johnson,WR,GB,3.2,0,0,0,0,0,0,0,0,2,1,14,0.1
Brandon Smith,WR,NYJ,3.3,0,0,0,0,0,0,0,0,2,1,15,0.1
Joshua Cephus,WR,JAC,3.2,0,0,0,0,0,0,0,0,2,1,15,0.1
TJ Sheffield,WR,TEN,3.2,0,0,0,0,0,0,0,0,2,1,15,0.1
Laquon Treadwell,WR,IND,3.1,0,0,0,0,0,0,0,0,2,1,14,0.1
Tom Kennedy,WR,DET,3.2,0,0,0,0,0,0,0,0,2,1,15,0.1
D.J. Montgomery,WR,IND,2.8,0,0,0,0,0,0,0,0,2,1,13,0.1
Irvin Charles,WR,NYJ,3.1,0,0,0,0,0,0,0,0,2,1,14,0.1
Lance McCutcheon,WR,PIT,2.6,0,0,0,0,0,0,0,0,2,1,12,0.1
Chris Moore,WR,WAS,2.3,0,0,0,0,0,0,0,0,1,1,12,0.1
Anthony Miller,WR,BAL,2.7,0,0,0,0,0,0,0,0,2,1,13,0.1
Isaiah Williams,WR,CIN,2.6,0,0,0,0,0,0,0,0,2,1,13,0.1
Tyler Scott,WR,CHI,2.5,0,0,0,0,0,0,0,0,2,1,11,0.1
Kelvin Harmon,WR,DAL,2.1,0,0,0,0,0,0,0,0,1,1,10,0.1
Josh Kelly,WR,DAL,2.2,0,0,0,0,0,0,0,0,1,1,10,0.1
Traeshon Holden,WR,DAL,2.2,0,0,0,0,0,0,0,0,1,1,10,0.1
Xavier Hutchinson,WR,HOU,2.3,0,0,0,0,0,0,0,0,2,1,11,0
Braxton Berrios,WR,HOU,2.2,0,0,0,0,0,0,0,0,1,1,10,0.1
Michael Woods II,WR,CLE,2,0,0,0,0,0,0,0,0,1,1,9,0
Kaden Davis,WR,CLE,1.9,0,0,0,0,0,0,0,0,1,1,9,0
Devin Duvernay,WR,CHI,1.9,0,0,0,0,0,0,2,0,1,1,7,0
Lucky Jackson,WR,MIN,1.8,0,0,0,0,0,0,0,0,1,1,8,0
Jacoby Jones,WR,WAS,1.7,0,0,0,0,0,0,0,0,1,1,8,0.1
Demetric Felton,WR,WAS,1.7,0,0,0,0,0,0,0,0,1,1,8,0.1
Michael Gallup,WR,WAS,1.7,0,0,0,0,0,0,0,0,1,1,8,0.1
Tay Martin,WR,WAS,1.7,0,0,0,0,0,0,0,0,1,1,8,0.1
Kaden Prather,WR,BUF,1.6,0,0,0,0,0,0,0,0,1,1,7,0.1
Ja’Corey Brooks,WR,WAS,1.7,0,0,0,0,0,0,0,0,1,1,8,0.1
Thayer Thomas,WR,MIN,1.8,0,0,0,0,0,0,0,0,1,1,8,0
Tank Dell,WR,HOU,1.5,0,0,0,0,0,0,0,0,1,1,7,0
Jamoi Mayes,WR,CIN,1.5,0,0,0,0,0,0,0,0,1,1,7,0
Tai Felton,WR,MIN,1.7,0,0,0,0,0,0,0,0,1,1,8,0
Mitchell Tinsley,WR,CIN,1.5,0,0,0,0,0,0,0,0,1,1,7,0
Xavier Weaver,WR,ARI,1.5,0,0,0,0,0,0,0,0,1,1,8,0
Rashod Owens,WR,CIN,1.5,0,0,0,0,0,0,0,0,1,1,7,0
