NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Jacoby Brissett,QB,ARI,2.3,4,5,39,0.2,0.1,0,0,0,0,0,0,0
Andy Dalton,QB,CAR,2.2,4,6,42,0.2,0.1,0,0,0,0,0,0,0
Drew Lock,QB,SEA,2.2,4,5,37,0.2,0.1,0,1,0,0,0,0,0
Brandon Allen,QB,TEN,2.2,4,6,41,0.2,0.1,0,1,0,0,0,0,0
Joshua Dobbs,QB,NE,2,4,5,37,0.2,0.1,0,0,0,0,0,0,0
Devin Leary,QB,BAL,0.2,0,0,3,0,0,0,0,0,0,0,0,0
John Wolford,QB,JAC,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Quinn Ewers,QB,MIA,0.2,0,0,2,0,0,0,0,0,0,0,0,0
Will Grier,QB,DAL,0.2,0,0,2,0,0,0,0,0,0,0,0,0
Stetson Bennett,QB,LAR,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Trey Lance,QB,LAC,0.2,0,0,2,0,0,0,0,0,0,0,0,0
Kyle Allen,QB,DET,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Mike White,QB,BUF,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Michael Pratt,QB,TB,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Bailey Zappe,QB,KC,0.2,0,0,2,0,0,0,0,0,0,0,0,0
Tommy DeVito,QB,NYG,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Kurtis Rourke,QB,SF,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Sam Ehlinger,QB,DEN,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Desmond Ridder,QB,CIN,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Dorian Thompson-Robinson,QB,PHI,0.2,0,0,3,0,0,0,0,0,0,0,0,0
Will Howard,QB,PIT,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Tommy Mellott,QB,LV,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Case Keenum,QB,CHI,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Ben Wooldridge,QB,NE,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Sam Hartman,QB,WAS,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Jake Haener,QB,NO,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Kyle McCord,QB,PHI,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Brett Rypien,QB,MIN,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Jack Plummer,QB,CAR,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Clayton Tune,QB,ARI,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Skylar Thompson,QB,PIT,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Easton Stick,QB,ATL,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Josh Johnson,QB,WAS,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Sean Clifford,QB,GB,0.1,0,0,3,0,0,0,0,0,0,0,0,0
Adrian Martinez,QB,NYJ,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Derrick Henry,RB,BAL,282.1,0,0,0,0,0,275,1510,13.2,30,23,212,1.4
Saquon Barkley,RB,PHI,291.2,0,0,0,0,0,287,1584,10.1,46,35,279,1.7
Bijan Robinson,RB,ATL,305.3,0,0,0,0,0,276,1357,11.2,68,52,415,1.7
Josh Jacobs,RB,GB,278.2,0,0,0,0,0,285,1326,10.1,53,40,363,1.7
Christian McCaffrey,RB,SF,298.7,0,0,0,0,0,244,1137,7.9,79,61,587,3.4
Jahmyr Gibbs,RB,DET,289.7,0,0,0,0,0,243,1289,9.4,68,52,425,2
Ashton Jeanty,RB,LV,290,0,0,0,0,0,267,1298,6.9,73,56,475,2.7
Bucky Irving,RB,TB,277.5,0,0,0,0,0,242,1247,8.3,57,44,453,2.5
Devon Achane,RB,MIA,303.5,0,0,0,0,0,219,977,8.3,97,74,618,3.6
Chase Brown,RB,CIN,267.7,0,0,0,0,0,254,1173,7,67,51,435,2.6
James Cook,RB,BUF,258.2,0,0,0,0,0,234,1168,8.1,60,46,372,1.9
Jonathan Taylor,RB,IND,238.5,0,0,0,0,0,297,1408,7.4,38,29,194,1
Kenneth Walker III,RB,SEA,257.5,0,0,0,0,0,252,1164,7,63,48,391,2.3
James Conner,RB,ARI,244.9,0,0,0,0,0,205,984,10.3,55,42,344,1.5
Breece Hall,RB,NYJ,250.6,0,0,0,0,0,235,1069,6.3,69,53,424,2
Kyren Williams,RB,LAR,221.1,0,0,0,0,0,268,1210,8.8,31,24,149,1.6
Joe Mixon,RB,HOU,242.3,0,0,0,0,0,220,1000,8.2,61,47,353,2.1
Alvin Kamara,RB,NO,253.9,0,0,0,0,0,177,814,6,93,71,541,2.1
Chuba Hubbard,RB,CAR,218.5,0,0,0,0,0,211,1033,7.5,51,39,232,1.4
Omarion Hampton,RB,LAC,217.4,0,0,0,0,0,209,940,6.8,51,39,312,2.1
Brian Robinson Jr.,RB,WAS,191.7,0,0,0,0,0,204,930,7.6,32,24,224,1.2
D’Andre Swift,RB,CHI,201.9,0,0,0,0,0,247,1065,5,47,36,272,0.6
Isiah Pacheco,RB,KC,207.9,0,0,0,0,0,204,900,5.8,55,42,324,1.8
RJ Harvey,RB,DEN,201,0,0,0,0,0,190,813,5.4,56,43,320,2.2
Aaron Jones,RB,MIN,190.1,0,0,0,0,0,167,786,7.6,43,33,243,1.6
Tony Pollard,RB,TEN,198.1,0,0,0,0,0,206,952,5.1,53,41,270,0.9
David Montgomery,RB,DET,168.1,0,0,0,0,0,148,689,7.1,37,28,257,0.7
Kaleb Johnson,RB,PIT,163.1,0,0,0,0,0,196,785,5.4,35,27,182,1.3
Jordan Mason,RB,MIN,154,0,0,0,0,0,161,781,6.2,27,21,150,0.7
Jaylen Warren,RB,PIT,173.9,0,0,0,0,0,135,610,2.4,62,47,400,2.1
Rhamondre Stevenson,RB,NE,148.7,0,0,0,0,0,150,666,6.3,29,22,159,1.2
Travis Etienne Jr.,RB,JAC,168.2,0,0,0,0,0,143,629,2.9,56,43,347,1.8
Tyjae Spears,RB,TEN,164.4,0,0,0,0,0,110,488,4.9,55,43,366,1.3
