NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
Jake Haener,QB,1.6,0.0,0.0,1.6,NO
Ryan Flournoy,WR,1.6,0.0,0.0,1.6,DAL
Simi Fehoko,WR,2.0,1.8,1.0,1.6,ARI
Nate Adkins,TE,2.5,0.6,0.0,1.6,DEN
Keith Kirkwood,WR,0.0,1.1,0.0,1.1,BAL
David Sills V,WR,0.0,0.0,2.3,2.3,ATL
Blake Whiteheart,TE,1.5,0.0,0.0,1.5,CLE
Devontez Walker,WR,1.5,0.0,0.0,1.5,BAL
Britain Covey,WR,2.0,1.0,0.0,1.5,LAR
Josiah Deguara,TE,0.3,0.9,1.4,0.9,ARI
Xavier Hutchinson,WR,1.4,1.5,0.0,1.5,HOU
Samori Toure,WR,0.0,1.2,1.7,1.5,CHI
Payne Durham,TE,2.1,0.8,0.0,1.5,TB
Jalen Virgil,WR,0.0,0.0,1.4,1.4,BUF
Carson Steele,RB,1.4,0.0,0.0,1.4,KC
Gary Brightwell,RB,0.0,0.0,2.5,2.5,CIN
Andre Baccellia,WR,0.0,0.0,1.4,1.4,ARI
Kenny Yeboah,TE,1.7,0.8,0.0,1.3,DET
Ronnie Bell,WR,0.8,2.0,0.0,1.4,DET
C.J. Ham,RB,0.8,0.5,1.8,1.0,MIN
Jeremy Ruckert,TE,1.6,2.1,0.2,1.3,NYJ
Miles Boykin,WR,0.0,0.3,0.2,0.3,CHI
Dominique Dafney,TE,0.0,0.0,0.0,0.0,CAR
Ross Dwelley,TE,0.1,0.2,1.9,0.7,SF
Tyree Jackson,TE,0.0,0.0,0.0,0.0,WAS
Alex Bachman,WR,1.2,0.0,0.0,1.2,LV
Cody White,WR,1.5,0.0,1.0,1.3,SEA
Cole Turner,TE,0.0,1.9,0.4,1.2,WAS
James Mitchell,TE,0.0,0.3,2.0,1.2,CAR
Eric Saubert,TE,1.5,0.5,2.1,1.4,SEA
Hunter Luepke,RB,1.6,0.6,0.0,1.1,DAL
Tyler Scott,WR,0.1,2.1,0.0,1.1,CHI
Patrick Ricard,RB,0.6,0.9,1.1,0.9,BAL
Kene Nwangwu,RB,0.0,0.3,1.7,1.0,NYJ
Brevyn Spann-Ford,TE,1.0,0.0,0.0,1.0,DAL
Quintin Morris,TE,0.9,0.7,1.4,1.0,JAC
Jacob Cowing,WR,1.0,0.0,0.0,1.0,SF
Dan Chisena,WR,1.0,0.0,0.0,1.0,CAR
Jermaine Burton,WR,1.0,0.0,0.0,1.0,CIN
Luke Farrell,TE,1.1,1.6,0.5,1.1,SF
Julian Hill,TE,1.4,0.5,0.0,1.0,MIA
James Proche,WR,0.7,-0.7,0.9,0.3,TEN
Mike Strachan,WR,0.0,1.3,0.6,1.0,WAS
Johnny Wilson,WR,0.9,0.0,0.0,0.9,PHI
Cam Grandy,TE,0.9,0.0,0.0,0.9,CIN
Tylan Wallace,WR,2.1,0.2,0.9,1.1,BAL
Ko Kieft,TE,0.0,0.4,1.2,0.8,TB
Ben Sinnott,TE,0.8,0.0,0.0,0.8,WAS
Sione Vaki,RB,0.8,0.0,0.0,0.8,DET
Malik Taylor,WR,0.0,1.0,0.0,1.0,DET
Giovanni Ricci,TE,0.0,0.3,1.2,0.8,MIN
Sean McKeon,TE,0.0,0.0,0.2,0.2,IND
Elijah Cooks,WR,0.0,0.7,0.0,0.7,PHI
Tanner Conner,TE,0.7,0.0,0.0,0.7,MIA
Michael Burton,RB,1.6,0.2,0.2,0.7,DEN
Chris Manhertz,TE,0.7,0.2,0.6,0.5,NYG
Ben Sims,TE,0.5,0.8,0.0,0.7,GB
Jack Stoll,TE,0.3,0.5,1.4,0.7,NO
Tim Jones,WR,0.4,1.1,0.4,0.6,MIN
Xavier Smith,WR,0.6,0.0,0.0,0.6,LAR
Jamari Thrash,WR,0.6,0.0,0.0,0.6,CLE
Malachi Corley,WR,0.6,0.0,0.0,0.6,NYJ
Reggie Gilliam,RB,0.0,0.1,1.3,0.7,BUF
Jakob Johnson,RB,0.0,0.2,0.4,0.3,HOU
Charlie Woerner,TE,0.7,0.4,0.0,0.6,ATL
Tip Reiman,TE,0.5,0.0,0.0,0.5,ARI
Hunter Long,TE,0.8,0.0,0.0,0.8,JAC
Montrell Washington,WR,0.0,0.0,0.4,0.4,NYG
Troy Hairston,RB,0.0,0.0,0.4,0.4,CLE
Clayton Tune,QB,-0.3,0.7,0.0,0.2,ARI
Scott Matlock,RB,0.4,0.0,0.0,0.4,LAC
Mason Kinsey,WR,0.5,0.2,0.0,0.4,TEN
Dareke Young,WR,0.0,0.0,0.3,0.3,SEA
Trishton Jackson,WR,0.0,0.3,0.0,0.3,ARI
Jaheim Bell,TE,0.3,0.0,0.0,0.3,NE
Isaiah Williams,WR,0.3,0.0,0.0,0.3,CIN
John FitzPatrick,TE,0.1,0.4,0.0,0.3,GB
Danny Gray,WR,0.0,0.0,0.2,0.2,PHI
Javon Baker,WR,0.2,0.0,0.0,0.2,NE
Stephen Carlson,TE,0.0,0.0,0.0,0.0,CHI
Jared Wiley,TE,0.1,0.0,0.0,0.1,KC
Jha’Quan Jackson,WR,0.1,0.0,0.0,0.1,TEN
